longitude,latitude,city_name,country_code,timezone,current_temp,feels_like,min_temp,max_temp,weather_id,weather_group,weather_description,weather_icon_code,atmospheric_pressure,humidity_percentage,sea_level_pressure,ground_level,wind_speed,wind_direction,visibility,cloudiness_percentage,rain_last_hour,snow_last_hour,data_time,sunrise_time,sunset_time,ingestion_timestamp
-0.1257,51.5085,London,GB,0,10.5,10.03,9.75,11.25,501,Rain,moderate rain,10n,1004,93,1004,1000,2.57,220,10000,75,2.73,,2026-01-13T16:30:06+00:00,2026-01-13T08:01:03+00:00,2026-01-13T16:16:45+00:00,2026-01-13T16:58:10.785780+00:00
-0.1257,51.5085,London,GB,0,10.5,10.03,9.75,11.25,501,Rain,moderate rain,10n,1004,93,1004,1000,2.57,220,10000,75,2.73,,2026-01-13T16:30:06+00:00,2026-01-13T08:01:03+00:00,2026-01-13T16:16:45+00:00,2026-01-13T16:58:10.786174+00:00
-74.006,40.7143,New York,US,-18000,6.18,2.75,4.97,7.37,800,Clear,clear sky,01d,1017,47,1017,1015,5.14,220,10000,0,,,2026-01-13T16:35:04+00:00,2026-01-13T12:18:35+00:00,2026-01-13T21:50:25+00:00,2026-01-13T16:58:10.793866+00:00
-74.006,40.7143,New York,US,-18000,6.18,2.75,4.97,7.37,800,Clear,clear sky,01d,1017,47,1017,1015,5.14,220,10000,0,,,2026-01-13T16:35:04+00:00,2026-01-13T12:18:35+00:00,2026-01-13T21:50:25+00:00,2026-01-13T16:58:10.795234+00:00
2.3488,48.8534,Paris,FR,3600,11.3,10.44,10.77,11.88,800,Clear,clear sky,01n,1010,75,1010,1000,3.6,160,10000,0,,,2026-01-13T16:32:30+00:00,2026-01-13T07:40:05+00:00,2026-01-13T16:17:55+00:00,2026-01-13T16:58:10.804195+00:00
2.3488,48.8534,Paris,FR,3600,11.3,10.44,10.77,11.88,800,Clear,clear sky,01n,1010,75,1010,1000,3.6,160,10000,0,,,2026-01-13T16:32:30+00:00,2026-01-13T07:40:05+00:00,2026-01-13T16:17:55+00:00,2026-01-13T16:58:10.805554+00:00
151.2073,-33.8679,Sydney,AU,39600,20.33,20.74,19.3,21.61,801,Clouds,few clouds,02n,1010,89,1010,1005,2.06,60,10000,20,,,2026-01-13T16:36:36+00:00,2026-01-13T18:58:21+00:00,2026-01-14T09:09:13+00:00,2026-01-13T16:58:10.812870+00:00
151.2073,-33.8679,Sydney,AU,39600,20.33,20.74,19.3,21.61,801,Clouds,few clouds,02n,1010,89,1010,1005,2.06,60,10000,20,,,2026-01-13T16:36:36+00:00,2026-01-13T18:58:21+00:00,2026-01-14T09:09:13+00:00,2026-01-13T16:58:10.814572+00:00
139.6917,35.6895,Tokyo,JP,32400,7.36,5.64,5.37,8.24,800,Clear,clear sky,01n,1006,47,1006,1005,2.57,350,10000,0,,,2026-01-13T16:34:55+00:00,2026-01-13T21:50:38+00:00,2026-01-14T07:49:05+00:00,2026-01-13T16:58:10.822579+00:00
139.6917,35.6895,Tokyo,JP,32400,7.36,5.64,5.37,8.24,800,Clear,clear sky,01n,1006,47,1006,1005,2.57,350,10000,0,,,2026-01-13T16:34:55+00:00,2026-01-13T21:50:38+00:00,2026-01-14T07:49:05+00:00,2026-01-13T16:58:10.824014+00:00
